schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
01M015,"333 East 4 Street, Manhattan, NY 10009",manhattan,10009,333,East 4 Street,40.721791,-73.978986,0990075,0202245,103
01M019,"185 1 Avenue, Manhattan, NY 10003",manhattan,10003,185,1 Avenue,40.729636,-73.983818,0988735,0205103,103
01M020,"166 Essex Street, Manhattan, NY 10002",manhattan,10002,166,Essex Street,40.72154,-73.986648,0987951,0202153,103
01M034,"730 East 12 Street, Manhattan, NY 10009",manhattan,10009,730,East 12 Street,40.726473,-73.975181,0991129,0203951,103
01M063,"121 East 3 Street, Manhattan, NY 10009",manhattan,10009,121,East 3 Street,40.724117,-73.986381,0988025,0203092,103
01M064,"600 East 6 Street, Manhattan, NY 10009",manhattan,10009,600,East 6 Street,40.724435,-73.981521,0989372,0203208,103
01M110,"285 Delancy Street, Manhattan, NY 10002",manhattan,10002,285,Delancy Street,40.715915,-73.979893,0989824,0200104,103
01M134,"293 East Broadway, Manhattan, NY 10002",manhattan,10002,293,East Broadway,40.71457,-73.983724,0988762,0199614,103
01M140,"123 Ridge Street, Manhattan, NY 10002",manhattan,10002,123,Ridge Street,40.71925,-73.983056,0988947,0201319,103
01M142,"100 Attorney Street, Manhattan, NY 10002",manhattan,10002,100,Attorney Street,40.718383,-73.984452,0988560,0201003,103
01M184,"327 Cherry Street, Manhattan, NY 10002",manhattan,10002,327,Cherry Street,40.711549,-73.986542,0987981,0198513,103
01M188,"442 East Houston Street, New York, NY 10002",manhattan,10002,442,East Houston Street,40.719598,-73.977904,0990375,0201446,103
01M315,"610 East 12 Street, Manhattan, NY 10009",manhattan,10009,610,East 12 Street,40.727892,-73.978525,0990202,0204468,103
01M361,"610 East 12 Street, Manhattan, NY 10009",manhattan,10009,610,East 12 Street,40.727892,-73.978525,0990202,0204468,103
01M363,"121 East 3 Street, Manhattan, NY 10009",manhattan,10009,121,East 3 Street,40.724117,-73.986381,0988025,0203092,103
01M364,"600 East 6 Street, Manhattan, NY 10009",manhattan,10009,600,East 6 Street,40.724435,-73.981521,0989372,0203208,103
01MAED,"419 East 13Th Street, New York, NY 10009",manhattan,10009,419,East 13Th Street,40.730402,-73.982447,0989115,0205382,103
01MAOZ,"34 Avenue D, New York, NY 10009",manhattan,10009,34,Avenue D,40.721351,-73.977723,0990425,0202085,103
01MAQA,"464 East 10Th Street, New York, NY 10009",manhattan,10009,464,East 10Th Street,40.724601,-73.97454,0991307,0203269,103
01MASU,"253 South Street, New York, NY 10002",manhattan,10002,253,South Street,40.710001,-73.990553,0986869,0197949,103
01MATK,"535 East 5Th Street, New York, NY 10009",manhattan,10009,535,East 5Th Street,40.724484,-73.983487,0988827,0203226,103
01MATO,"280 Rivington Street, New York, NY 10002",manhattan,10002,280,Rivington Street,40.717468,-73.979726,0989870,0200670,103
01MATQ,"180 Suffolk Street, New York, NY 10002",manhattan,10002,180,Suffolk Street,40.721067,-73.98501,0988405,0201981,103
01MATU,"294 Delancey Street, New York, NY 10002",manhattan,10002,294,Delancey Street,40.715758,-73.979334,0989979,0200047,103
01MAUB,"184 Eldridge Street, New York, NY 10002",manhattan,10002,184,Eldridge Street,40.720653,-73.990674,0986835,0201830,103
01MAUC,"300 Delancey Street, New York, NY 10002",manhattan,10002,300,Delancey Street,40.715709,-73.979168,0990025,0200029,103
01MAUE,"108 Avenue D, New York, NY 10009",manhattan,10009,108,Avenue D,40.723492,-73.976164,0990857,0202865,103
01MAXZ,"301 Henry Street, New York, NY 10002",manhattan,10002,301,Henry Street,40.714065,-73.9827,0989046,0199430,103
01MBKU,"131 Broome Street, New York, NY 10002",manhattan,10002,131,Broome Street,40.71622,-73.983991,0988688,0200215,103
02M001,"8 Henry Street, Manhattan, NY 10038",manhattan,10038,8,Henry Street,40.71276,-73.997489,0984946,0198954,103
02M002,"122 Henry Street, Manhattan, NY 10002",manhattan,10002,122,Henry Street,40.713273,-73.991339,0986651,0199141,103
02M003,"490 Hudson Street, Manhattan, NY 10014",manhattan,10014,490,Hudson Street,40.732593,-74.006466,0982458,0206180,102
02M006,"45 East 81 Street, Manhattan, NY 10028",manhattan,10028,45,East 81 Street,40.777455,-73.960713,0995131,0222527,108
02M011,"320 West 21 Street, Manhattan, NY 10011",manhattan,10011,320,West 21 Street,40.744349,-74.000253,0984180,0210463,104
02M033,"281 9 Avenue, Manhattan, NY 10001",manhattan,10001,281,9 Avenue,40.748977,-73.999531,0984380,0212149,104
02M040,"320 East 20Th Street, Manhattan, NY 10003",manhattan,10003,320,East 20Th Street,40.735751,-73.981655,0989334,0207331,106
02M041,"116 West 11 Street, Manhattan, NY 10011",manhattan,10011,116,West 11 Street,40.735687,-73.999,0984527,0207307,102
02M042,"71 Hester Street, Manhattan, NY 10002",manhattan,10002,71,Hester Street,40.715905,-73.990895,0986774,0200100,103
02M051,"525 West 44Th Street, Manhattan, NY 10036",manhattan,10036,525,West 44Th Street,40.761518,-73.99591,0985383,0216718,104
02M059,"231-249 East 56 Street, Manhattan, NY 10019",manhattan,10019,231-249,East 56 Street,40.759249,-73.967221,0993331,0215893,106
02M089,"201 Warren Street, Manhattan, NY 10282",manhattan,10282,201,Warren Street,40.716668,-74.013542,0980496,0200378,101
02M111,"440 West 53 Street, Manhattan, NY 10019",manhattan,10019,440,West 53 Street,40.765878,-73.988823,0987346,0218307,104
02M116,"210 East 33 Street, Manhattan, NY 10016",manhattan,10016,210,East 33 Street,40.744838,-73.978116,0990314,0210642,106
02M124,"40 Division Street, Manhattan, NY 10002",manhattan,10002,40,Division Street,40.714182,-73.995451,0985511,0199472,103
02M126,"80 Catherine Street, Manhattan, NY 10038",manhattan,10038,80,Catherine Street,40.710729,-73.996631,0985184,0198214,103
02M130,"143 Baxter Street, Manhattan, NY 10013",manhattan,10013,143,Baxter Street,40.718903,-73.998438,0984683,0201192,102
02M150,"334 Greenwich Street, Manhattan, NY 10013",manhattan,10013,334,Greenwich Street,40.718219,-74.010519,0981334,0200943,101
02M151,"421 East 88 Street, Manhattan, NY 10128",manhattan,10128,421,East 88 Street,40.777856,-73.947627,0998755,0222675,108
02M158,"1458 York Avenue, Manhattan, NY 10075",manhattan,10075,1458,York Avenue,40.770419,-73.951135,0997785,0219965,108
02M183,"419 East 66 Street, Manhattan, NY 10065",manhattan,10065,419,East 66 Street,40.763736,-73.95815,0995843,0217529,108
02M198,"1700 3 Avenue, Manhattan, NY 10128",manhattan,10128,1700,3 Avenue,40.784826,-73.949611,0998204,0225214,108
02M212,"328 West 48 Street, Manhattan, NY 10036",manhattan,10036,328,West 48 Street,40.761558,-73.988275,0987498,0216733,104
02M217,"645 Main Street, Manhattan, NY 10044",manhattan,10044,645,Main Street,40.763894,-73.947916,0998678,0217588,108
02M225,"317 East 67 Street, Manhattan, NY 10065",manhattan,10065,317,East 67 Street,40.765359,-73.960059,0995314,0218120,108
02M234,"292 Greenwich Street, Manhattan, NY 10007",manhattan,10007,292,Greenwich Street,40.716017,-74.011038,0981190,0200141,101
02M267,"213 East 63Rd Street, Manhattan, NY 10065",manhattan,10065,213,East 63Rd Street,40.763842,-73.964222,0994161,0217567,108
02M276,"55 Battery Place, Manhattan, NY 10280",manhattan,10280,55,Battery Place,40.70644,-74.017818,0979310,0196652,101
02M281,"425 East 35Th Street, Manhattan, NY 10016",manhattan,10016,425,East 35Th Street,40.74428,-73.972591,0991845,0210439,106
02M290,"311 East 82 Street, Manhattan, NY 10028",manhattan,10028,311,East 82 Street,40.775078,-73.953096,0997241,0221662,108
02M340,"590 Sixth Avenue, New York, NY 10011",manhattan,10011,590,Sixth Avenue,40.739178,-73.9955,0985497,0208579,105
02M343,"1 Peck Slip, Manhattan, NY 10038",manhattan,10038,1,Peck Slip,40.708766,-74.002406,0983583,0197499,101
02M347,"223 East 23 Street, Manhattan, NY 10010",manhattan,10010,223,East 23 Street,40.738548,-73.982455,0989112,0208350,106
02M397,"12 Spruce Street, Manhattan, NY 10038",manhattan,10038,12,Spruce Street,40.711132,-74.005277,0982787,0198361,101
02M527,"323 East 91 Street, Manhattan, NY 10128",manhattan,10128,323,East 91 Street,40.780763,-73.94869,0998460,0223734,108
02MADO,"193 10Th Avenue, New York, NY 10011",manhattan,10011,193,10Th Avenue,40.746718,-74.00489,0982895,0211326,104
02MAMQ,"331 East 70Th Street, New York, NY 10021",manhattan,10021,331,East 70Th Street,40.766925,-73.95795,0995898,0218691,108
02MAMZ,"38 West 32Nd Street, New York, NY 10001",manhattan,10001,38,West 32Nd Street,40.747889,-73.987253,0987782,0211753,105
02MANG,"423 East 23Rd Street, New York, NY 10010",manhattan,10010,423,East 23Rd Street,40.736492,-73.977787,0990406,0207601,106
02MANH,"60-62 East 97Th Street, New York, NY 10029",manhattan,10029,60-62,East 97Th Street,40.787567,-73.952888,0997296,0226212,111
02MAPL,"215 South End Avenue, New York, NY 10280",manhattan,10280,215,South End Avenue,40.709523,-74.016679,0979626,0197775,101
02MAPM,"60 Catherine Street, New York, NY 10038",manhattan,10038,60,Catherine Street,40.711566,-73.99684,0985126,0198519,103
02MAPY,"60 Essex Street, New York, NY 10002",manhattan,10002,60,Essex Street,40.717011,-73.988987,0987303,0200503,103
02MAQG,"460 West 34Th Street, New York, NY 10001",manhattan,10001,460,West 34Th Street,40.754329,-73.998578,0984644,0214099,104
02MATL,"35 Division Street, New York, NY 10002",manhattan,10002,35,Division Street,40.714143,-73.995787,0985418,0199458,103
02MAUA,"197 East Broadway, New York, NY 10002",manhattan,10002,197,East Broadway,40.714211,-73.988302,0987493,0199483,103
02MAUH,"462 First Avenue, New York, NY 10016",manhattan,10016,462,First Avenue,40.739497,-73.976624,0990728,0208696,106
02MAUM,"125 Walker Street, New York, NY 10013",manhattan,10013,125,Walker Street,40.717451,-73.99982,0984300,0200663,101
02MAUN,"1794 First Avenue, New York, NY 10128",manhattan,10128,1794,First Avenue,40.781201,-73.946206,0999148,0223894,108
02MAUP,"459 West 26Th Street, New York, NY 10001",manhattan,10001,459,West 26Th Street,40.74938,-74.002252,0983626,0212296,104
02MAUT,"538 West 55Th Street, New York, NY 10019",manhattan,10019,538,West 55Th Street,40.768604,-73.991415,0986628,0219300,104
02MAUU,"115 Chrystie Street, New York, NY 10002",manhattan,10002,115,Chrystie Street,40.718647,-73.993586,0986028,0201099,103
02MAUW,"77 Market Street, New York, NY 10002",manhattan,10002,77,Market Street,40.710781,-73.994178,0985864,0198233,103
02MAUY,"129 Fulton Street, New York, NY 10038",manhattan,10038,129,Fulton Street,40.710105,-74.007495,0982172,0197987,101
