schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
01M015,"333 EAST 4 STREET, MANHATTAN, NY 10009",manhattan,10009,333,EAST 4 STREET,40.721791,-73.978986,990075.0,202245.0,103.0
01M019,"185 1 AVENUE, MANHATTAN, NY 10003",manhattan,10003,185,1 AVENUE,40.729636,-73.983818,988735.0,205103.0,103.0
01M020,"166 ESSEX STREET, MANHATTAN, NY 10002",manhattan,10002,166,ESSEX STREET,40.72154,-73.986648,987951.0,202153.0,103.0
01M034,"730 EAST 12 STREET, MANHATTAN, NY 10009",manhattan,10009,730,EAST 12 STREET,40.726473,-73.975181,991129.0,203951.0,103.0
01M063,"121 EAST 3 STREET, MANHATTAN, NY 10009",manhattan,10009,121,EAST 3 STREET,40.724117,-73.986381,988025.0,203092.0,103.0
01M064,"600 EAST 6 STREET, MANHATTAN, NY 10009",manhattan,10009,600,EAST 6 STREET,40.724435,-73.981521,989372.0,203208.0,103.0
01M110,"285 DELANCY STREET, MANHATTAN, NY 10002",manhattan,10002,285,DELANCY STREET,40.715915,-73.979893,989824.0,200104.0,103.0
01M134,"293 EAST BROADWAY, MANHATTAN, NY 10002",manhattan,10002,293,EAST BROADWAY,40.71457,-73.983724,988762.0,199614.0,103.0
01M140,"123 RIDGE STREET, MANHATTAN, NY 10002",manhattan,10002,123,RIDGE STREET,40.71925,-73.983056,988947.0,201319.0,103.0
01M142,"100 ATTORNEY STREET, MANHATTAN, NY 10002",manhattan,10002,100,ATTORNEY STREET,40.718383,-73.984452,988560.0,201003.0,103.0
01M184,"327 CHERRY STREET, MANHATTAN, NY 10002",manhattan,10002,327,CHERRY STREET,40.711549,-73.986542,987981.0,198513.0,103.0
01M188,"442 EAST HOUSTON STREET, NEW YORK, NY 10002",manhattan,10002,442,EAST HOUSTON STREET,40.719598,-73.977904,990375.0,201446.0,103.0
01M315,"610 EAST 12 STREET, MANHATTAN, NY 10009",manhattan,10009,610,EAST 12 STREET,40.727892,-73.978525,990202.0,204468.0,103.0
01M361,"610 EAST 12 STREET, MANHATTAN, NY 10009",manhattan,10009,610,EAST 12 STREET,40.727892,-73.978525,990202.0,204468.0,103.0
01M363,"121 EAST 3 STREET, MANHATTAN, NY 10009",manhattan,10009,121,EAST 3 STREET,40.724117,-73.986381,988025.0,203092.0,103.0
01M364,"600 EAST 6 STREET, MANHATTAN, NY 10009",manhattan,10009,600,EAST 6 STREET,40.724435,-73.981521,989372.0,203208.0,103.0
01MAED,"419 EAST 13 STREET, MANHATTAN, NY 10009",manhattan,10009,419,EAST 13 STREET,40.730402,-73.982447,989115.0,205382.0,103.0
01MATQ,"180 SUFFOLK STREET, MANHATTAN, NY 10002",manhattan,10002,180,SUFFOLK STREET,40.721067,-73.98501,988405.0,201981.0,103.0
01MATU,"294 DELANCEY STREET, MANHATTAN, NY 10002",manhattan,10002,294,DELANCEY STREET,40.715758,-73.979334,989979.0,200047.0,103.0
01MAUB,"184 ELDRIDGE STREET, MANHATTAN, NY 10002",manhattan,10002,184,ELDRIDGE STREET,40.720653,-73.990674,986835.0,201830.0,103.0
01MAUC,"300 DELANCEY STREET, MANHATTAN, NY 10002",manhattan,10002,300,DELANCEY STREET,40.715709,-73.979168,990025.0,200029.0,103.0
01MAUE,"108 AVENUE D, MANHATTAN, NY 10009",manhattan,10009,108,AVENUE D,40.723492,-73.976164,990857.0,202865.0,103.0
01MAXZ,"301 HENRY STREET, MANHATTAN, NY 10002",manhattan,10002,301,HENRY STREET,40.714065,-73.9827,989046.0,199430.0,103.0
01MBDB,"749 FDR, MANHATTAN, NY 10009",manhattan,10009,749,FDR,40.722073,-73.974667,991272.0,202348.0,103.0
01MBDZ,"111-113 NORFOLK STREET, MANHATTAN, NY 10002",manhattan,10002,111-113,NORFOLK STREET,40.719036,-73.987038,987843.0,201241.0,103.0
01MBEU,"55 RUTGERS STREET, MANHATTAN, NY 10002",manhattan,10002,55,RUTGERS STREET,40.711725,-73.989806,987076.0,198577.0,103.0
01MBKP,"684 WATER STREET, MANHATTAN, NY 10002",manhattan,10002,684,WATER STREET,40.711537,-73.98067,989609.0,198509.0,103.0
01MBOC,"60 PITT STREET, MANHATTAN, NY 10002",manhattan,10002,60,PITT STREET,40.717872,-73.982702,989045.0,200817.0,103.0
01MBON,"154 BROOME STREET, MANHATTAN, NY 10002",manhattan,10002,154,BROOME STREET,40.716508,-73.984885,988440.0,200320.0,103.0
01MBPA,"250 CLINTON STREET, MANHATTAN, NY 10002",manhattan,10002,250,CLINTON STREET,40.711579,-73.98674,987926.0,198524.0,103.0
01MBPU,"250 CLINTON STREET, MANHATTAN, NY 10002",manhattan,10002,250,CLINTON STREET,40.711579,-73.98674,987926.0,198524.0,103.0
01MBPV,"80 COLUMBIA STREET, MANHATTAN, NY 10002",manhattan,10002,80,COLUMBIA STREET,40.717561,-73.979968,989803.0,200704.0,103.0
01MBQH,"721 EAST 5TH STREET, MANHATTAN, NY 10009",manhattan,10009,721,EAST 5TH STREET,40.722713,-73.979281,989993.0,202581.0,103.0
01MBQS,"143 ESSEX STREET, MANHATTAN, NY 10002",manhattan,10002,143,ESSEX STREET,40.720379,-73.987273,987778.0,201730.0,103.0
01MBTJ,"60 PITT STREET, MANHATTAN, NY 10002",manhattan,10002,60,PITT STREET,40.717872,-73.982702,989045.0,200817.0,103.0
01MBTY,"446 EAST 13TH ST, MANHATTAN, NY 10009",manhattan,10009,446,EAST 13TH ST,40.730201,-73.982014,989235.0,205309.0,103.0
01MBUV,"60 GOUVERNEUR STREET, MANHATTAN, NY 10002",manhattan,10002,60,GOUVERNEUR STREET,40.712715,-73.983797,988742.0,198938.0,103.0
01MBXN,"110 RIDGE STREET, MANHATTAN, NY 10002",manhattan,10002,110,RIDGE STREET,40.718918,-73.983204,988906.0,201198.0,103.0
02H463,"100 WEST 31ST STREET, MANHATTAN, NY 10001",manhattan,10001,100,WEST 31ST STREET,40.748068,-73.989595,987133.0,211818.0,105.0
02M001,"8 HENRY STREET, MANHATTAN, NY 10038",manhattan,10038,8,HENRY STREET,40.71276,-73.997489,984946.0,198954.0,103.0
02M002,"122 HENRY STREET, MANHATTAN, NY 10002",manhattan,10002,122,HENRY STREET,40.713273,-73.991339,986651.0,199141.0,103.0
02M003,"490 HUDSON STREET, MANHATTAN, NY 10014",manhattan,10014,490,HUDSON STREET,40.732593,-74.006466,982458.0,206180.0,102.0
02M006,"45 EAST 81 STREET, MANHATTAN, NY 10028",manhattan,10028,45,EAST 81 STREET,40.777455,-73.960713,995131.0,222527.0,108.0
02M011,"320 WEST 21 STREET, MANHATTAN, NY 10011",manhattan,10011,320,WEST 21 STREET,40.744349,-74.000253,984180.0,210463.0,104.0
02M033,"281 9 AVENUE, MANHATTAN, NY 10001",manhattan,10001,281,9 AVENUE,40.748977,-73.999531,984380.0,212149.0,104.0
02M040,"320 EAST 20TH STREET, MANHATTAN, NY 10003",manhattan,10003,320,EAST 20TH STREET,40.735751,-73.981655,989334.0,207331.0,106.0
02M041,"116 WEST 11 STREET, MANHATTAN, NY 10011",manhattan,10011,116,WEST 11 STREET,40.735687,-73.999,984527.0,207307.0,102.0
02M042,"71 HESTER STREET, MANHATTAN, NY 10002",manhattan,10002,71,HESTER STREET,40.715905,-73.990895,986774.0,200100.0,103.0
02M051,"525 WEST 44TH STREET, MANHATTAN, NY 10036",manhattan,10036,525,WEST 44TH STREET,40.761518,-73.99591,985383.0,216718.0,104.0
02M059,"231-249 EAST 56 STREET, MANHATTAN, NY 10019",manhattan,10019,231-249,EAST 56 STREET,40.759249,-73.967221,993331.0,215893.0,106.0
02M089,"201 WARREN STREET, MANHATTAN, NY 10282",manhattan,10282,201,WARREN STREET,40.716668,-74.013542,980496.0,200378.0,101.0
02M111,"440 WEST 53 STREET, MANHATTAN, NY 10019",manhattan,10019,440,WEST 53 STREET,40.765878,-73.988823,987346.0,218307.0,104.0
02M116,"210 EAST 33 STREET, MANHATTAN, NY 10016",manhattan,10016,210,EAST 33 STREET,40.744838,-73.978116,990314.0,210642.0,106.0
02M124,"40 DIVISION STREET, MANHATTAN, NY 10002",manhattan,10002,40,DIVISION STREET,40.714182,-73.995451,985511.0,199472.0,103.0
02M126,"80 CATHERINE STREET, MANHATTAN, NY 10038",manhattan,10038,80,CATHERINE STREET,40.710729,-73.996631,985184.0,198214.0,103.0
02M130,"143 BAXTER STREET, MANHATTAN, NY 10013",manhattan,10013,143,BAXTER STREET,40.718903,-73.998438,984683.0,201192.0,102.0
02M150,"334 GREENWICH STREET, MANHATTAN, NY 10013",manhattan,10013,334,GREENWICH STREET,40.718219,-74.010519,981334.0,200943.0,101.0
02M151,"421 EAST 88 STREET, MANHATTAN, NY 10128",manhattan,10128,421,EAST 88 STREET,40.777856,-73.947627,998755.0,222675.0,108.0
02M158,"1458 YORK AVENUE, MANHATTAN, NY 10075",manhattan,10075,1458,YORK AVENUE,40.770419,-73.951135,997785.0,219965.0,108.0
02M183,"419 EAST 66 STREET, MANHATTAN, NY 10065",manhattan,10065,419,EAST 66 STREET,40.763736,-73.95815,995843.0,217529.0,108.0
02M198,"1700 3 AVENUE, MANHATTAN, NY 10128",manhattan,10128,1700,3 AVENUE,40.784826,-73.949611,998204.0,225214.0,108.0
02M212,"328 WEST 48 STREET, MANHATTAN, NY 10036",manhattan,10036,328,WEST 48 STREET,40.761558,-73.988275,987498.0,216733.0,104.0
02M217,"645 MAIN STREET, MANHATTAN, NY 10044",manhattan,10044,645,MAIN STREET,40.763894,-73.947916,998678.0,217588.0,108.0
02M225,"317 EAST 67 STREET, MANHATTAN, NY 10065",manhattan,10065,317,EAST 67 STREET,40.765359,-73.960059,995314.0,218120.0,108.0
02M234,"292 GREENWICH STREET, MANHATTAN, NY 10007",manhattan,10007,292,GREENWICH STREET,40.716017,-74.011038,981190.0,200141.0,101.0
02M267,"213 EAST 63RD STREET, MANHATTAN, NY 10065",manhattan,10065,213,EAST 63RD STREET,40.763842,-73.964222,994161.0,217567.0,108.0
02M276,"55 BATTERY PLACE, MANHATTAN, NY 10280",manhattan,10280,55,BATTERY PLACE,40.70644,-74.017818,979310.0,196652.0,101.0
02M281,"425 EAST 35TH STREET, MANHATTAN, NY 10016",manhattan,10016,425,EAST 35TH STREET,40.74428,-73.972591,991845.0,210439.0,106.0
02M290,"311 EAST 82 STREET, MANHATTAN, NY 10028",manhattan,10028,311,EAST 82 STREET,40.775078,-73.953096,997241.0,221662.0,108.0
02M340,"64 WEST 17 STREET, MANHATTAN, NY 10011",manhattan,10011,64,WEST 17 STREET,40.738725,-73.994169,985866.0,208414.0,105.0
02M343,"1 PECK SLIP, MANHATTAN, NY 10038",manhattan,10038,1,PECK SLIP,40.708766,-74.002406,983583.0,197499.0,101.0
02M347,"223 EAST 23 STREET, MANHATTAN, NY 10010",manhattan,10010,223,EAST 23 STREET,40.738548,-73.982455,989112.0,208350.0,106.0
02M397,"12 SPRUCE STREET, MANHATTAN, NY 10038",manhattan,10038,12,SPRUCE STREET,40.711132,-74.005277,982787.0,198361.0,101.0
02M527,"323 EAST 91 STREET, MANHATTAN, NY 10128",manhattan,10128,323,EAST 91 STREET,40.780763,-73.94869,998460.0,223734.0,108.0
02MADO,"193 10 AVENUE, MANHATTAN, NY 10011",manhattan,10011,193,10 AVENUE,40.746718,-74.00489,982895.0,211326.0,104.0
02MANG,"423 EAST 23 STREET, MANHATTAN, NY 10010",manhattan,10010,423,EAST 23 STREET,40.736492,-73.977787,990406.0,207601.0,106.0
02MANH,"60-62 EAST 97TH STREET, MANHATTAN, NY 10029",manhattan,10029,60-62,EAST 97TH STREET,40.787567,-73.952888,997296.0,226212.0,111.0
02MAPL,"215 SOUTH END AVENUE, MANHATTAN, NY 10280",manhattan,10280,215,SOUTH END AVENUE,40.709523,-74.016679,979626.0,197775.0,101.0
02MAPM,"60 CATHERINE STREET, MANHATTAN, NY 10038",manhattan,10038,60,CATHERINE STREET,40.711566,-73.99684,985126.0,198519.0,103.0
02MAPY,"60 ESSEX STREET, MANHATTAN, NY 10002",manhattan,10002,60,ESSEX STREET,40.717011,-73.988987,987303.0,200503.0,103.0
02MASL,"441 WEST 26 STREET, MANHATTAN, NY 10001",manhattan,10001,441,WEST 26 STREET,40.749196,-74.001815,983747.0,212229.0,104.0
02MATL,"35 DIVISION STREET, MANHATTAN, NY 10002",manhattan,10002,35,DIVISION STREET,40.714143,-73.995787,985418.0,199458.0,103.0
02MAUA,"197 EAST BROADWAY, MANHATTAN, NY 10002",manhattan,10002,197,EAST BROADWAY,40.714211,-73.988302,987493.0,199483.0,103.0
02MAUL,"199 CHAMBERS STREET, MANHATTAN, NY 10007",manhattan,10007,199,CHAMBERS STREET,40.716838,-74.012117,980891.0,200440.0,101.0
02MAUM,"125 WALKER STREET, MANHATTAN, NY 10013",manhattan,10013,125,WALKER STREET,40.717451,-73.99982,984300.0,200663.0,101.0
02MAUN,"1794 FIRST AVENUE, MANHATTAN, NY 10128",manhattan,10128,1794,FIRST AVENUE,40.781201,-73.946206,999148.0,223894.0,108.0
02MAUP,"459 WEST 26 STREET, MANHATTAN, NY 10001",manhattan,10001,459,WEST 26 STREET,40.74938,-74.002252,983626.0,212296.0,104.0
02MAUS,"780 8 AVENUE, MANHATTAN, NY 10036",manhattan,10036,780,8 AVENUE,40.760743,-73.987218,987791.0,216436.0,105.0
02MAUU,"115 CHRYSTIE STREET, MANHATTAN, NY 10002",manhattan,10002,115,CHRYSTIE STREET,40.718647,-73.993586,986028.0,201099.0,103.0
02MAUW,"77 MARKET STREET, MANHATTAN, NY 10002",manhattan,10002,77,MARKET STREET,40.710781,-73.994178,985864.0,198233.0,103.0
02MAXX,"230 GRAND STREET, MANHATTAN, NY 10013",manhattan,10013,230,GRAND STREET,40.718625,-73.995249,985567.0,201091.0,102.0
02MAXY,"4 RIVER ROAD, MANHATTAN, NY 10044",manhattan,10044,4,RIVER ROAD,40.764481,-73.9474,998821.0,217802.0,108.0
02MAYH,"410 WEST 40 STREET, MANHATTAN, NY 10018",manhattan,10018,410,WEST 40 STREET,40.7574,-73.994192,985859.0,215218.0,104.0
02MBBE,"115 EAST 98 STREET, MANHATTAN, NY 10029",manhattan,10029,115,EAST 98 STREET,40.787637,-73.951057,997803.0,226238.0,111.0
02MBDA,"358 BROOME STREET, MANHATTAN, NY 10013",manhattan,10013,358,BROOME STREET,40.719978,-73.995512,985494.0,201584.0,102.0
02MBEV,"45 RUTGERS STREET, MANHATTAN, NY 10002",manhattan,10002,45,RUTGERS STREET,40.712076,-73.989864,987060.0,198705.0,103.0
02MBGQ,"4 NEW YORK PLAZA, MANHATTAN, NY 10004",manhattan,10004,4,NEW YORK PLAZA,40.702373,-74.011325,981110.0,195170.0,101.0
02MBHH,"21 ST. JOHNS LANE, MANHATTAN, NY 10013",manhattan,10013,21,ST. JOHNS LANE,40.721493,-74.005758,982654.0,202136.0,101.0
